,期数,红球号码_1,红球号码_2,红球号码_3,红球号码_4,红球号码_5,红球号码_6,蓝球,快乐星期天,奖池奖金(元),一等奖_注数,一等奖_奖金(元),二等奖_注数,二等奖_奖金(元),总投注额(元),开奖日期
0,21083,04,09,11,25,28,33,04,,"894,543,509",25,"5,173,874",276,"19,686","367,542,044",2021-07-25
1,21082,03,06,11,13,26,32,05,,"1,007,589,655",7,"7,348,639",161,"127,643","344,368,726",2021-07-22
2,21081,01,03,05,18,22,23,01,,"997,378,346",4,"10,000,000",135,"207,725","344,437,194",2021-07-20
3,21080,05,08,22,23,24,29,09,,"953,249,373",12,"6,122,048",119,"141,434","376,533,622",2021-07-18
4,21079,01,03,10,24,28,29,13,,"976,221,781",8,"7,301,888",95,"242,304","345,574,370",2021-07-15
5,21078,04,06,15,26,27,31,12,,"965,580,237",6,"7,800,858",132,"159,139","341,551,308",2021-07-13
6,21077,08,15,17,25,27,30,10,,"949,366,069",13,"6,434,628",112,"208,149","377,616,968",2021-07-11
7,21076,03,09,21,23,30,32,06,,"963,078,086",4,"7,982,765",87,"171,423","347,734,992",2021-07-08
8,21075,12,15,16,21,22,29,01,,"950,267,665",2,"10,000,000",55,"435,092","347,517,338",2021-07-06
9,21074,04,05,09,14,25,27,07,,"898,477,373",14,"5,822,076",163,"88,259","382,266,836",2021-07-04
10,21073,01,06,18,22,24,25,08,,"936,827,442",4,"9,536,636",83,"273,291","353,932,932",2021-07-01
11,21072,01,09,15,16,19,21,15,,"906,924,437",3,"10,000,000",105,"275,206","351,515,940",2021-06-29
12,21071,01,07,24,31,32,33,08,,"850,234,438",6,"7,393,944",75,"239,394","384,399,388",2021-06-27
13,21070,01,05,11,15,16,29,15,,"840,734,349",6,"8,972,728",179,"166,455","356,032,100",2021-06-24
14,21069,06,11,18,20,23,26,05,,"805,184,330",5,"8,297,648",130,"158,540","348,547,620",2021-06-22
15,21068,04,14,18,24,31,32,15,,"784,841,657",7,"8,662,562",232,"138,135","381,950,996",2021-06-20
16,21067,01,11,19,23,25,29,09,,"749,337,326",6,"7,464,865",61,"303,057","352,986,918",2021-06-17
17,21066,02,06,19,26,30,33,15,,"738,667,046",14,"6,436,433",145,"173,362","343,529,368",2021-06-15
18,21065,01,04,08,19,29,33,16,,"753,364,365",3,"10,000,000",82,"384,177","362,527,724",2021-06-13
19,21064,04,06,08,15,16,18,16,,"688,856,687",4,"10,000,000",112,"242,377","353,338,262",2021-06-10
20,21063,04,05,06,09,23,24,09,,"647,417,696",16,"5,000,000",106,"6,000","370,142,008",2021-06-08
21,21062,12,13,15,20,22,25,10,,"727,417,696",6,"8,804,175",67,"425,840","405,763,536",2021-06-06
22,21061,04,09,12,18,20,23,01,,"694,648,802",4,"10,000,000",127,"237,150","376,779,952",2021-06-03
23,21060,10,11,17,20,29,30,15,,"644,294,438",6,"8,356,965",163,"154,461","365,484,344",2021-06-01
24,21059,01,09,11,18,32,33,14,,"618,904,511",1,"10,000,000",91,"397,078","407,754,588",2021-05-30
25,21058,09,11,13,18,19,28,14,,"520,502,015",5,"9,893,453",96,"318,584","382,666,074",2021-05-27
26,21057,05,06,09,17,25,33,16,,"478,217,025",6,"8,882,850",179,"162,689","379,559,152",2021-05-25
27,21056,08,21,22,23,29,32,01,,"444,149,990",10,"7,488,306",215,"144,669","410,076,324",2021-05-23
28,21055,03,11,12,16,22,28,10,,"425,721,551",29,"5,553,793",206,"97,451","376,647,950",2021-05-20
