,close,correct,correct_by_close_open,current_close,date,high,incr,incr_by_close_open,low,open
0,[574.],,1.0,589.0,2020-12-04,[581.10435832],,0.0,[567.85642477],[575.118242]
1,[589.],,0.0,588.5,2020-12-07,[589.],,1.0,[579.5],[584.5]
2,[588.5],,0.0,582.0,2020-12-08,[593.],,1.0,[587.],[589.]
3,[583.5],,0.0,588.5,2020-12-09,[592.5],,0.0,[579.5],[592.5]
4,[583.],,1.0,589.0,2020-12-10,[590.5],,0.0,[582.5],[588.]
5,[585.],,1.0,578.5,2020-12-11,[591.],,1.0,[583.],[591.]
6,[578.],,1.0,588.0,2020-12-14,[582.5],,0.0,[577.5],[580.]
7,[588.],,0.0,571.5,2020-12-15,[590.],,1.0,[582.5],[590.]
8,[571.],,1.0,560.0,2020-12-16,[585.5],,1.0,[570.],[585.5]
9,[560.],0.0,0.0,567.5,2020-12-17,[572.],,0.0,[560.],[571.]
10,571.5,0.0,1.0,580.5,2020-12-18,571.5,1.0,0.0,553.0,563.5
12,583.0,-2.0,,577.5,2020-12-21,583.0,1.0,1.0,574.0,580.0
