,code,time_key,open,close,high,low,pe_ratio,turnover_rate,volume,turnover,change_rate,last_close
0,HK.09999,2020-06-11 00:00:00,132.23725,129.23725,134.43725,129.23725,18.421,0.01591,54549198,7228141741.0,-2.268649718592908,121.87762
1,HK.09999,2020-06-12 00:00:00,125.23725,127.73725,128.33725,125.23725,19.053,0.00536,18364472,2357902351.0,-1.1606560801935866,129.23725
2,HK.09999,2020-06-15 00:00:00,126.23725,124.33725,127.43725,124.23725,18.549,0.00517,17734920,2239126033.0,-2.6617137913960147,127.73725
3,HK.09999,2020-06-16 00:00:00,127.83725,128.93725,130.13725,127.33725,19.231,0.00324,11099659,1440113039.0,3.6996153606421314,124.33725
4,HK.09999,2020-06-17 00:00:00,128.23725,127.33725,128.23725,126.13725,18.994,0.00181,6219498,795886232.0,-1.2409137002689359,128.93725
5,HK.09999,2020-06-18 00:00:00,124.73725,125.93725,126.43725,124.33725,18.787,0.00243,8334526,1051736324.0,-1.09944262185652,127.33725
6,HK.09999,2020-06-19 00:00:00,126.23725,128.03725,128.33725,126.23725,19.098,0.00222,7611857,977571607.0,1.6674971066940036,125.93725
7,HK.09999,2020-06-22 00:00:00,128.73725,128.53725,129.23725,126.53725,19.315,0.00163,5620223,723546230.0,0.3905113550939277,128.03725
8,HK.09999,2020-06-23 00:00:00,128.23725,131.83725,132.13725,127.03725,19.808,0.00407,14068800,1848257157.0,2.567349153650021,128.53725
9,HK.09999,2020-06-24 00:00:00,133.83725,135.23725,136.43725,133.53725,20.316,0.00456,15739971,2140571341.0,2.5789372882094987,131.83725
10,HK.09999,2020-06-26 00:00:00,135.23725,135.23725,135.73725,134.03725,20.316,0.00197,6810528,925108220.0,0.0,135.23725
11,HK.09999,2020-06-29 00:00:00,135.23725,134.23725,135.23725,131.53725,20.167,0.00123,4235615,568863168.0,-0.7394412412260676,135.23725
12,HK.09999,2020-06-30 00:00:00,133.53725,132.83725,133.53725,131.43725,19.958,0.00101,3501727,465051313.0,-1.0429295892160912,134.23725
13,HK.09999,2020-07-02 00:00:00,132.83725,134.13725,135.23725,131.43725,20.152,0.00234,8075914,1078841468.0,0.9786411567538342,132.83725
14,HK.09999,2020-07-03 00:00:00,133.33725,133.03725,134.23725,131.93725,19.988,0.00137,4726964,633780399.0,-0.8200555774029916,134.13725
15,HK.09999,2020-07-06 00:00:00,135.23725,135.23725,135.23725,133.03725,20.316,0.00194,6703480,905274872.0,1.6536721857975782,133.03725
16,HK.09999,2020-07-07 00:00:00,136.23725,135.23725,136.73725,134.43725,20.316,0.00136,4713002,642081244.0,0.0,135.23725
17,HK.09999,2020-07-08 00:00:00,136.23725,139.63725,140.13725,136.23725,20.974,0.00213,7367709,1024034259.0,3.253541461394702,135.23725
18,HK.09999,2020-07-09 00:00:00,141.13725,153.73725,166.23725,141.13725,23.08,0.00598,20664884,3177297533.0,10.09759215395605,139.63725
19,HK.09999,2020-07-10 00:00:00,151.23725,151.73725,158.63725,148.23725,22.781,0.00364,12593855,1936174857.0,-1.300920889374566,153.73725
20,HK.09999,2020-07-13 00:00:00,150.83725,149.93725,152.93725,146.43725,22.512,0.00272,9414898,1424690682.0,-1.1862611191384997,151.73725
21,HK.09999,2020-07-14 00:00:00,144.23725,146.23725,147.23725,142.33725,21.959,0.00238,8220337,1196852177.0,-2.4676989874097446,149.93725
22,HK.09999,2020-07-15 00:00:00,148.13725,148.13725,150.73725,144.23725,22.243,0.00149,5150100,765363774.0,1.2992585678409612,146.23725
23,HK.09999,2020-07-16 00:00:00,146.13725,141.73725,146.23725,139.23725,21.287,0.00229,7913315,1126157849.0,-4.320317813379151,148.13725
24,HK.09999,2020-07-17 00:00:00,138.93725,139.73725,142.33725,138.53725,20.988,0.00172,5936275,836694124.0,-1.4110616651585945,141.73725
25,HK.09999,2020-07-20 00:00:00,140.93725,140.53725,141.73725,137.13725,21.108,0.00085,2953305,415311045.0,0.572503036949712,139.73725
26,HK.09999,2020-07-21 00:00:00,144.73725,148.33725,149.03725,144.43725,22.273,0.00204,7051309,1048382178.0,5.5501299477540735,140.53725
27,HK.09999,2020-07-22 00:00:00,147.13725,144.23725,148.23725,142.83725,21.661,0.00113,3890360,570952786.0,-2.763971962538083,148.33725
28,HK.09999,2020-07-23 00:00:00,144.23725,144.93725,145.53725,140.13725,21.765,0.00106,3676761,530790990.0,0.4853115266687469,144.23725
29,HK.09999,2020-07-24 00:00:00,140.93725,139.33725,141.73725,137.33725,20.929,0.00201,6961532,974292433.0,-3.863741032757275,144.93725
30,HK.09999,2020-07-27 00:00:00,138.23725,138.03725,139.03725,134.23725,20.734,0.00135,4654498,640553853.0,-0.9329881277260827,139.33725
31,HK.09999,2020-07-28 00:00:00,140.03725,140.93725,141.23725,138.73725,21.168,0.00087,3018300,425052792.0,2.100882189409022,138.03725
32,HK.09999,2020-07-29 00:00:00,139.33725,140.13725,140.93725,138.23725,21.048,0.00072,2474363,348405651.0,-0.5676285013365958,140.93725
33,HK.09999,2020-07-30 00:00:00,140.23725,139.03725,140.83725,137.43725,20.884,0.00088,3035005,426258658.0,-0.7849447595125453,140.13725
34,HK.09999,2020-07-31 00:00:00,139.23725,140.03725,140.83725,138.33725,21.033,0.00053,1839576,258019080.0,0.7192317166802422,139.03725
35,HK.09999,2020-08-03 00:00:00,140.53725,143.03725,144.33725,139.83725,21.481,0.00102,3525279,504799988.0,2.1422871414570053,140.03725
36,HK.09999,2020-08-04 00:00:00,145.43725,146.23725,146.73725,143.63725,21.959,0.00093,3215015,470174712.0,2.2371794759756556,143.03725
37,HK.09999,2020-08-05 00:00:00,147.03725,149.23725,149.53725,146.63725,22.408,0.00092,3167120,472226349.0,2.051460896590985,146.23725
38,HK.09999,2020-08-06 00:00:00,151.23725,149.23725,151.23725,145.33725,22.408,0.00119,4096918,608671653.0,0.0,149.23725
39,HK.09999,2020-08-07 00:00:00,150.23725,146.73725,150.23725,141.73725,22.034,0.0025,8645188,1269997257.0,-1.675184982301671,149.23725
40,HK.09999,2020-08-10 00:00:00,144.73725,143.53725,144.73725,139.93725,21.556,0.0016,5522980,792147922.0,-2.1807686868876095,146.73725
41,HK.09999,2020-08-11 00:00:00,142.03725,142.23725,144.53725,141.73725,21.362,0.00114,3939486,565117628.0,-0.9056882446891044,143.53725
42,HK.09999,2020-08-12 00:00:00,141.73725,142.13725,143.03725,138.53725,21.347,0.00111,3834653,543289974.0,-0.07030507128055016,142.23725
43,HK.09999,2020-08-13 00:00:00,146.93725,147.23725,148.23725,145.03725,22.109,0.00135,4651855,686086916.0,3.588081238380505,142.13725
44,HK.09999,2020-08-14 00:00:00,143.63725,143.73725,144.73725,141.03725,21.586,0.00122,4226640,607458093.0,-2.3771158453448433,147.23725
45,HK.09999,2020-08-17 00:00:00,142.83725,142.53725,143.43725,140.83725,21.407,0.00078,2689391,384180126.0,-0.8348566568512955,143.73725
46,HK.09999,2020-08-18 00:00:00,146.23725,146.83725,146.93725,145.23725,22.049,0.00123,4254505,625605130.0,3.016755269236646,142.53725
47,HK.09999,2020-08-19 00:00:00,147.23725,146.83725,149.23725,142.23725,22.049,0.00139,4802301,713053020.0,0.0,146.83725
48,HK.09999,2020-08-20 00:00:00,148.93725,147.13725,148.93725,145.03725,22.094,0.00071,2445017,359498903.0,0.204307830608366,146.83725
49,HK.09999,2020-08-21 00:00:00,147.63725,149.23725,149.23725,146.33725,22.408,0.00115,3972878,590971445.0,1.4272388535194143,147.13725
50,HK.09999,2020-08-24 00:00:00,151.13725,153.13725,153.73725,149.83725,22.99,0.00224,7722255,1179835780.0,2.6132885723906103,149.23725
51,HK.09999,2020-08-25 00:00:00,151.83725,154.73725,155.73725,150.83725,23.229,0.00196,6769704,1045403905.0,1.044814374033747,153.13725
52,HK.09999,2020-08-26 00:00:00,158.23725,161.33725,161.83725,157.13725,24.215,0.00245,8465233,1358352423.0,4.265294878899569,154.73725
53,HK.09999,2020-08-27 00:00:00,161.49767,159.79767,161.49767,156.19767,23.916,0.00172,5953016,952140355.0,-0.9542619574834706,161.33725
54,HK.09999,2020-08-28 00:00:00,159.09767,156.79767,159.29767,156.69767,23.468,0.00112,3853667,609473563.0,-1.8773740568307409,159.79767
55,HK.09999,2020-08-31 00:00:00,158.69767,155.29767,158.69767,155.09767,23.244,0.00093,3211163,505654557.0,-0.9566468685408398,156.79767
56,HK.09999,2020-09-01 00:00:00,151.59767,152.69767,153.09767,151.09767,22.856,0.00167,5778125,880450283.0,-1.6742041268230379,155.29767
57,HK.09999,2020-09-02 00:00:00,153.29767,153.39767,153.99767,149.99767,22.96,0.00151,5218009,796381342.0,0.4584221881054355,152.69767
58,HK.09999,2020-09-03 00:00:00,153.39767,153.09767,154.29767,151.79767,22.916,0.00082,2820050,432732715.0,-0.19557011524360923,153.39767
59,HK.09999,2020-09-04 00:00:00,148.49767,149.09767,150.29767,145.99767,22.318,0.00154,5321669,789092508.0,-2.612711218923188,153.09767
60,HK.09999,2020-09-07 00:00:00,148.19767,145.89767,150.79767,145.69767,21.84,0.00081,2785469,411111568.0,-2.146244136477779,149.09767
61,HK.09999,2020-09-08 00:00:00,145.69767,145.79767,148.69767,144.29767,21.825,0.00085,2953140,432002447.0,-0.06854119054813851,145.89767
62,HK.09999,2020-09-09 00:00:00,142.69767,142.49767,143.29767,140.49767,21.332,0.00108,3734630,531935312.0,-2.2634106566998025,145.79767
63,HK.09999,2020-09-10 00:00:00,146.69767,143.89767,146.69767,143.09767,21.541,0.00058,1997971,289740296.0,0.9824722046332446,142.49767
64,HK.09999,2020-09-11 00:00:00,143.69767,143.29767,144.89767,141.99767,21.452,0.00076,2628038,378648574.0,-0.41696297097791385,143.89767
65,HK.09999,2020-09-14 00:00:00,143.59767,143.89767,144.59767,142.29767,21.541,0.00093,3229774,465468614.0,0.418708831762578,143.29767
66,HK.09999,2020-09-15 00:00:00,143.69767,145.69767,146.39767,141.49767,21.81,0.00083,2865989,417993632.0,1.2508889129337417,143.89767
67,HK.09999,2020-09-16 00:00:00,147.69767,149.39767,150.09767,147.69767,22.363,0.00087,2999827,447874955.0,2.539505264566013,145.69767
68,HK.09999,2020-09-17 00:00:00,148.09767,145.79767,148.09767,144.39767,21.825,0.00117,4045592,589789382.0,-2.409676134841992,149.39767
69,HK.09999,2020-09-18 00:00:00,147.09767,147.39767,147.39767,145.19767,22.064,0.00064,2215638,325564292.0,1.0974112274908057,145.79767
70,HK.09999,2020-09-21 00:00:00,146.89767,145.69767,147.09767,145.09767,21.81,0.00155,5369676,786265674.0,-1.1533425189149984,147.39767
71,HK.09999,2020-09-22 00:00:00,148.29767,148.59767,150.39767,147.49767,22.243,0.0014,4853819,723492097.0,1.9904230452003835,145.69767
72,HK.09999,2020-09-23 00:00:00,149.69767,149.09767,150.69767,148.49767,22.318,0.0006,2075532,311100131.0,0.3364790309296236,148.59767
73,HK.09999,2020-09-24 00:00:00,147.69767,146.59767,147.69767,144.79767,21.945,0.00111,3835440,560923672.0,-1.676753231623271,149.09767
74,HK.09999,2020-09-25 00:00:00,145.09767,145.99767,147.49767,145.09767,21.855,0.00056,1923691,281783651.0,-0.4092834490479926,146.59767
75,HK.09999,2020-09-28 00:00:00,145.19767,143.69767,145.39767,140.69767,21.511,0.00162,5593202,801088782.0,-1.5753676068940081,145.99767
76,HK.09999,2020-09-29 00:00:00,143.79767,143.19767,144.19767,142.19767,21.437,0.00053,1831410,262336893.0,-0.3479527538616319,143.69767
77,HK.09999,2020-09-30 00:00:00,140.69767,137.59767,140.99767,136.69767,20.6,0.00202,6973502,965722132.0,-3.9106781555873042,143.19767
78,HK.09999,2020-10-05 00:00:00,139.19767,138.39767,139.59767,136.99767,20.72,0.00087,3002995,416231611.0,0.5814051938524913,137.59767
79,HK.09999,2020-10-06 00:00:00,139.49767,137.99767,139.49767,137.49767,20.66,0.00075,2584341,357976966.0,-0.28902220680449725,138.39767
80,HK.09999,2020-10-07 00:00:00,137.09767,137.69767,138.09767,136.69767,20.615,0.00086,2980970,410312126.0,-0.21739497485719242,137.99767
81,HK.09999,2020-10-08 00:00:00,134.69767,133.59767,135.19767,132.99767,20.002,0.00171,5912162,793566766.0,-2.9775376736585266,137.69767
82,HK.09999,2020-10-09 00:00:00,135.89767,137.89767,138.29767,135.49767,20.645,0.00116,4009523,551637647.0,3.218619007352457,133.59767
