,code,drop_incr,drop_incr_by_close_open,drop_same,incr_incr,incr_incr_by_close_open,incr_same
0,HK.03690,0.36,0.38,0.43,0.5,0.44,0.42
1,HK.00700,0.33,0.27,0.3,0.64,0.5,0.44
2,HK.09988,0.42,0.42,0.41,0.2,0.2,0.12
3,HK.01810,0.56,0.44,0.43,0.55,0.5,0.56
4,HK.800000,0.36,0.4,0.36,0.56,0.64,0.64
5,HK.09618,0.44,0.53,0.43,0.27,0.42,0.38
6,HK.01211,0.46,0.44,0.43,0.56,0.55,0.57
7,HK.00175,1.0,1.0,1.0,0.0,0.0,0.0
8,HK.00941,1.0,1.0,1.0,0.0,0.0,0.0
9,HK.00981,0.6,0.47,0.75,0.54,0.43,0.38
10,HK.800700,0.44,0.56,0.5,0.62,0.7,0.67
